"rInfection_pos","Receptive","Anal_nocondom","College","Proportion"
0,0,0,0,0.015518028297581
0,0,0,1,0.0643541761752624
0,0,1,0,0.0397078959379279
0,0,1,1,0.110908261068005
0,1,0,0,0.0292104062072113
0,1,0,1,0.117754450022821
0,1,1,0,0.101780009128252
0,1,1,1,0.340940209949795
1,0,0,0,0.00136923779096303
1,0,0,1,0.00456412596987677
1,0,1,0,0.00319488817891374
1,0,1,1,0.0123231401186673
1,1,0,0,0.00821542674577818
1,1,0,1,0.0246462802373346
1,1,1,0,0.0419899589228663
1,1,1,1,0.0835235052487449
