"rInfection_pos","Receptive","Anal_nocondom","College","Subtype","Proportion"
0,0,0,0,0,0.0109539023277042
0,0,0,0,1,0.00456412596987677
0,0,0,1,0,0.046554084892743
0,0,0,1,1,0.0178000912825194
0,0,1,0,0,0.0255591054313099
0,0,1,0,1,0.014148790506618
0,0,1,1,0,0.0771337288909174
0,0,1,1,1,0.0337745321770881
0,1,0,0,0,0.0214513920584208
0,1,0,0,1,0.00775901414879051
0,1,0,1,0,0.0812414422638065
0,1,0,1,1,0.0365130077590142
0,1,1,0,0,0.0652670013692378
0,1,1,0,1,0.0365130077590142
0,1,1,1,0,0.248288452761296
0,1,1,1,1,0.0926517571884984
1,0,0,0,0,0.000912825193975354
1,0,0,0,1,0.000456412596987677
1,0,0,1,0,0.00365130077590141
1,0,0,1,1,0.000912825193975354
1,0,1,0,0,0.00273847558192606
1,0,1,0,1,0.000456412596987677
1,0,1,1,0,0.00958466453674121
1,0,1,1,1,0.00273847558192606
1,1,0,0,0,0.00547695116385212
1,1,0,0,1,0.00273847558192606
1,1,0,1,0,0.0182565038795071
1,1,0,1,1,0.00638977635782748
1,1,1,0,0,0.0246462802373346
1,1,1,0,1,0.0173436786855317
1,1,1,1,0,0.0584208124144226
1,1,1,1,1,0.0251026928343222
